category,precision,recall,f1-score,support
407,0.2988505747126437,0.1969696969696969,0.2374429223744292,132.0
408,0.5485232067510548,0.6532663316582915,0.5963302752293579,199.0
409,0.5714285714285714,0.0236686390532544,0.0454545454545454,169.0
410,0.25,0.024390243902439,0.0444444444444444,41.0
411,0.6,0.2857142857142857,0.3870967741935483,126.0
412,0.3809523809523809,0.16,0.2253521126760563,50.0
413,0.2288135593220339,0.3529411764705882,0.2776349614395887,153.0
414,0.2313725490196078,0.7515923566878981,0.3538230884557721,157.0
415,0.4444444444444444,0.0888888888888888,0.1481481481481481,45.0
416,0.3620689655172414,0.1071428571428571,0.1653543307086614,196.0
417,0.4745762711864407,0.1590909090909091,0.2382978723404255,176.0
418,0.3917525773195876,0.3819095477386934,0.3867684478371501,199.0
419,0.233502538071066,0.4623115577889447,0.3102866779089376,199.0
420,0.4047619047619047,0.1524663677130044,0.2214983713355048,223.0
421,0.3513513513513513,0.143646408839779,0.2039215686274509,181.0
422,0.4492753623188406,0.1527093596059113,0.2279411764705882,203.0
423,0.2363636363636363,0.3333333333333333,0.276595744680851,195.0
424,0.5425531914893617,0.2318181818181818,0.3248407643312102,220.0
425,0.4230769230769231,0.25,0.3142857142857143,88.0
426,0.3554817275747508,0.6858974358974359,0.4682713347921226,156.0
428,0.8,0.6263345195729537,0.7025948103792415,281.0
429,0.1333333333333333,0.0795454545454545,0.0996441281138789,176.0
430,0.1739130434782608,0.0615384615384615,0.0909090909090909,65.0
431,0.2774193548387096,0.4886363636363636,0.3539094650205761,88.0
432,0.5,0.0169491525423728,0.0327868852459016,118.0
433,0.4867724867724867,0.6301369863013698,0.5492537313432835,146.0
434,0.7554347826086957,0.7722222222222223,0.7637362637362637,180.0
435,0.7586206896551724,0.7096774193548387,0.7333333333333333,248.0
436,0.0353697749196141,0.2075471698113207,0.0604395604395604,53.0
437,0.2880434782608695,0.3441558441558441,0.3136094674556213,154.0
438,0.2857142857142857,0.05,0.0851063829787234,80.0
439,0.4117647058823529,0.2517985611510791,0.3124999999999999,139.0
